Index,Affaires,Dates,Documents,Liens,Pays,TVA,Droits d'accises,Taxation des produits énergétiques et de l'électricité,Douane,Droits de succession,Fusion,Taxe sur les véhicules,Libre circulation des capitaux,"Principes, objectifs et missions des Traités",Boissons spiritueuses,Libre circulation des marchandises,Restrictions quantitatives,Mesures d'effet équivalent,Liberté d'établissement,Plus-values,Coopération administrative,Tabacs manufacturés,Impôts indirects,Citoyenneté de l'Union,Libre circulation des travailleurs,Relations extérieures,Association européenne de libre-échange,Taxe d'immatriculation,Rapprochement des législations,Adhésion,Dispositions financières,Ressources propres,Transports,Agriculture et Pêche,Environnement,Départements français d'outre-mer,Denrées alimentaires,Monopoles d'État à caractère commercial,Concurrence,Aides accordées par les États,Total
0,C-341/20,16/09/2021,ECLI:EU:C:2021:744,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62020CJ0341,Italie,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,C-787/19,27/01/2021,ECLI:EU:C:2021:72,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62019CJ0787,Autriche,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,C-371/19,18/11/2020,ECLI:EU:C:2020:936,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62019CJ0371,Allemagne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,C-276/19,14/05/2020,ECLI:EU:C:2020:368,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62019CJ0276,Royaume-Uni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,C-91/18,11/07/2019,ECLI:EU:C:2019:600,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62018CJ0091,Grèce,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,C-51/18,19/12/2018,ECLI:EU:C:2018:1035,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62018CJ0051,Autriche,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,C-590/16,08/02/2018,ECLI:EU:C:2018:77,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62016CJ0590,Grèce,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,C-380/16,08/02/2018,ECLI:EU:C:2018:76,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62016CJ0380,Allemagne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,C-98/16,04/05/2017,ECLI:EU:C:2017:346,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62016CJ0098,Grèce,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,C-616/15,21/09/2017,ECLI:EU:C:2017:721,https://eur-lex.europa.eu/legal-content/fr/TXT/?uri=CELEX:62015CJ0616,Allemagne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
